index	iid	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Group Label	Version ID	Master ID	Publication	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990Â¬Â±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Locality	Country	Lat.	Long.	Data source	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, ""QUESTIONABLE"" for 0.01-0.03, and recorded but passed if 0.03-0.05; libraries with fully-treated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.03, ""QUESTIONABLE"" if 0.03-0.06, and recorded but passed if 0.06-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	Skeletal code	Skeletal element	Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)	Date BP	Date BP (SE)	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Age at Death Estimate	Group ID	No. Libraries	SNPs	Mean length of shotgun sequences (merged data)	Family ID and position within family	Y haplogroup	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e..1	LibraryID(s)	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	Steppe	WHG	Farmer	Steppe(SE)	WHG(SE)	Farmer(SE)
833	Est377	0.0446	-0.0135	0.0418	0.0004	0.004	0.0053	-0.0066	0.0004	0.005	-0.0013	Estonian	Est377	Est377	LazaridisNature2014	..	Parnu, Avinurme, Viljandi, Talinn	Estonia	58.5390393	24.8892515	6	..	592397	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Estonian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
834	Mordovians30	0.0324	-0.0341	0.0392	0.0075	0.0098	0.005	0.0019	0.0027	0.0012	0.0095	Mordovian	Mordovians30	Mordovians30	LazaridisNature2014	..	Saransk_in_Republic_of_Mordova	Russia	54.183333	45.183333	6	..	590527	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
835	Chuvash13	0.0275	-0.0656	0.078	0.0224	0.0068	0.0008	-0.0052	-0.0075	-0.0011	-0.0042	Chuvash	Chuvash13	Chuvash13	LazaridisNature2014	..	Cheboksary_in_Chuvash_Republic	Russia	56.110278	47.251111	6	..	591945	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Chuvash	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
836	bel93c	0.0383	-0.0101	0.0309	0.0052	0.0086	0.0013	-0.0002	-0.0002	0.0001	-0.0021	Belarusian	bel93c	bel93c	LazaridisNature2014	..	Vitebsk, Senno, Shumilino, Glubokoe, Dubrovno, Slutsk, Cherven, Kobrin	Belarus	53.9198542	28.0119322	6	..	589413	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Belarusian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
837	UkrBel733	0.0343	-0.0107	0.0278	-0.0011	0.0009	-0.0007	0.0035	0.002	-0.0022	0.001	Ukrainian	UkrBel733	UkrBel733	LazaridisNature2014	..	Belgorod	Russia	50.2870922	31.5574036	6	..	592137	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Ukrainian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
838	Est372	0.044	-0.0125	0.0348	0.0032	0.0033	0.007	-0.0043	-0.0007	0.0066	0.0073	Estonian	Est372	Est372	LazaridisNature2014	..	Parnu, Avinurme, Viljandi, Talinn	Estonia	58.5390393	24.8892515	6	..	592360	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Estonian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
839	Mordovians4	0.0339	-0.0228	0.0433	0.0069	0.0005	0.0062	-0.0163	0.0002	0.0008	-0.0022	Mordovian	Mordovians4	Mordovians4	LazaridisNature2014	..	Saransk_in_Republic_of_Mordova	Russia	54.183333	45.183333	6	..	592324	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
840	Mordovians31	0.0349	-0.0273	0.0353	0.0028	0.0011	0.0011	-0.0041	-0.0037	-0.0009	0.0031	Mordovian	Mordovians31	Mordovians31	LazaridisNature2014	..	Saransk_in_Republic_of_Mordova	Russia	54.183333	45.183333	6	..	591750	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
841	Chuvash20	0.0285	-0.057	0.07	0.0192	0.0095	0.005	-0.0063	-0.0014	0.0012	0.0042	Chuvash	Chuvash20	Chuvash20	LazaridisNature2014	..	Cheboksary_in_Chuvash_Republic	Russia	56.110278	47.251111	6	..	591472	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Chuvash	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
842	bel110c	0.0357	-0.013	0.0334	0.0056	0.0087	-0.0009	-0.0033	-0.0002	0.0068	0.0058	Belarusian	bel110c	bel110c	LazaridisNature2014	..	Vitebsk, Senno, Shumilino, Glubokoe, Dubrovno, Slutsk, Cherven, Kobrin	Belarus	53.9198542	28.0119322	6	..	591838	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Belarusian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
843	UkrBel736	0.0317	-0.016	0.0283	0.0032	-0.0008	0.0069	0	0.0026	0.004	0.0019	Ukrainian	UkrBel736	UkrBel736	LazaridisNature2014	..	Belgorod	Russia	50.2870922	31.5574036	6	..	592367	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Ukrainian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
844	Est358	0.0429	-0.0098	0.0314	-0.0024	0.0013	0.0003	-0.0051	-0.0003	0.0058	0.0055	Estonian	Est358	Est358	LazaridisNature2014	..	Parnu, Avinurme, Viljandi, Talinn	Estonia	58.5390393	24.8892515	6	..	592175	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Estonian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
845	Mordovians17	0.0354	-0.0247	0.0414	0.0057	0.0006	0.0021	-0.0068	-0.0028	-0.0003	-0.0045	Mordovian	Mordovians17	Mordovians17	LazaridisNature2014	..	Saransk_in_Republic_of_Mordova	Russia	54.183333	45.183333	6	..	592252	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
846	Mordovians1	0.0324	-0.028	0.0358	0.0039	0.0011	0	0.0001	0.0043	-0.0012	0.0046	Mordovian	Mordovians1	Mordovians1	LazaridisNature2014	..	Saransk_in_Republic_of_Mordova	Russia	54.183333	45.183333	6	..	592148	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
847	Chuvash22	0.0265	-0.0683	0.0725	0.018	0.0058	-0.0006	-0.0066	-0.0049	0.0047	-0.0076	Chuvash	Chuvash22	Chuvash22	LazaridisNature2014	..	Cheboksary_in_Chuvash_Republic	Russia	56.110278	47.251111	6	..	590933	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Chuvash	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
848	bel8s	0.0319	-0.0099	0.0292	-0.0003	0.0026	0.0058	-0.0022	0.0035	0.0046	0.0005	Belarusian	bel8s	bel8s	LazaridisNature2014	..	Vitebsk, Senno, Shumilino, Glubokoe, Dubrovno, Slutsk, Cherven, Kobrin	Belarus	53.9198542	28.0119322	6	..	591442	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Belarusian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
849	belarusian23vp	0.0345	-0.0148	0.0276	0.0019	-0.0031	0.0033	-0.0056	-0.0004	0.0035	-0.0007	Belarusian	belarusian23vp	belarusian23vp	LazaridisNature2014	..	Vitebsk, Senno, Shumilino, Glubokoe, Dubrovno, Slutsk, Cherven, Kobrin	Belarus	53.9198542	28.0119322	6	..	591982	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Belarusian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
850	Est400	0.0382	-0.0124	0.0299	0.0056	0.0037	0.0071	-0.0065	-0.0033	0.0047	0.0036	Estonian	Est400	Est400	LazaridisNature2014	..	Parnu, Avinurme, Viljandi, Talinn	Estonia	58.5390393	24.8892515	6	..	591966	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Estonian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
851	Mordovians22	0.0354	-0.0279	0.043	0.0016	0.003	0.0056	-0.0108	-0.001	0.0088	0.0013	Mordovian	Mordovians22	Mordovians22	LazaridisNature2014	..	Saransk_in_Republic_of_Mordova	Russia	54.183333	45.183333	6	..	592600	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
852	Chuvash26	0.0271	-0.0593	0.0694	0.0196	0.0015	0.0013	-0.0054	-0.0022	0.0062	-0.0042	Chuvash	Chuvash26	Chuvash26	LazaridisNature2014	..	Cheboksary_in_Chuvash_Republic	Russia	56.110278	47.251111	6	..	592276	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Chuvash	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
853	Chuvash24	0.0297	-0.061	0.067	0.0189	0.0059	0.0028	-0.0008	-0.0035	0.0069	-0.0043	Chuvash	Chuvash24	Chuvash24	LazaridisNature2014	..	Cheboksary_in_Chuvash_Republic	Russia	56.110278	47.251111	6	..	591757	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Chuvash	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
854	bel23s	0.04	-0.0114	0.0294	0.0044	0.0036	0.0044	-0.0059	0.0041	0.0004	0.0014	Belarusian	bel23s	bel23s	LazaridisNature2014	..	Vitebsk, Senno, Shumilino, Glubokoe, Dubrovno, Slutsk, Cherven, Kobrin	Belarus	53.9198542	28.0119322	6	..	590697	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Belarusian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
855	belarusian47zp	0.0367	-0.0079	0.0222	0.0014	0.0034	0.0002	-0.002	-0.0039	0.0049	0.0022	Belarusian	belarusian47zp	belarusian47zp	LazaridisNature2014	..	Vitebsk, Senno, Shumilino, Glubokoe, Dubrovno, Slutsk, Cherven, Kobrin	Belarus	53.9198542	28.0119322	6	..	591715	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Belarusian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
856	UkrLv228	0.03	-0.011	0.0238	-0.002	-0.0019	0.0018	-0.0013	0.0052	0.0046	-0.0007	Ukrainian	UkrLv228	UkrLv228	LazaridisNature2014	..	Lviv	Ukraine	49.85	24.01666667	6	..	591740	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Ukrainian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
857	Est397	0.04	-0.0101	0.035	0.001	0.0044	0.0073	-0.003	0.0014	-0.0005	-0.0004	Estonian	Est397	Est397	LazaridisNature2014	..	Parnu, Avinurme, Viljandi, Talinn	Estonia	58.5390393	24.8892515	6	..	592472	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Estonian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
858	Mordovians32	0.0361	-0.028	0.0398	0.0058	0.0036	0.007	-0.0043	-0.0027	0.0003	0.0056	Mordovian	Mordovians32	Mordovians32	LazaridisNature2014	..	Saransk_in_Republic_of_Mordova	Russia	54.183333	45.183333	6	..	592640	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
859	Chuvash29	0.03	-0.0607	0.0753	0.0189	0.0097	0.0024	-0.0033	-0.0018	0.006	-0.0032	Chuvash	Chuvash29	Chuvash29	LazaridisNature2014	..	Cheboksary_in_Chuvash_Republic	Russia	56.110278	47.251111	6	..	592074	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Chuvash	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
860	Chuvash25	0.0324	-0.0521	0.0708	0.0095	0.0048	0.0046	-0.0034	-0.0015	-0.0003	-0.0025	Chuvash	Chuvash25	Chuvash25	LazaridisNature2014	..	Cheboksary_in_Chuvash_Republic	Russia	56.110278	47.251111	6	..	592068	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Chuvash	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
861	bel82s	0.0359	-0.0082	0.0264	0.0022	-0.0003	0.0066	-0.004	-0.0038	0.0047	-0.0006	Belarusian	bel82s	bel82s	LazaridisNature2014	..	Vitebsk, Senno, Shumilino, Glubokoe, Dubrovno, Slutsk, Cherven, Kobrin	Belarus	53.9198542	28.0119322	6	..	592135	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Belarusian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
862	UkrBel614	0.0348	-0.0177	0.034	0.0043	0.0056	0.0062	-0.0085	-0.0045	0.007	0.007	Ukrainian	UkrBel614	UkrBel614	LazaridisNature2014	..	Belgorod	Russia	50.2870922	31.5574036	6	..	590593	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Ukrainian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
863	UkrLv237	0.0312	-0.0057	0.0191	-0.0008	-0.002	0.0024	0.0009	0	0.0001	-0.0007	Ukrainian	UkrLv237	UkrLv237	LazaridisNature2014	..	Lviv	Ukraine	49.85	24.01666667	6	..	592065	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Ukrainian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
864	Est394	0.0407	-0.0106	0.0378	0.0042	0.0027	0.0023	-0.0061	-0.0017	0.0091	-0.0005	Estonian	Est394	Est394	LazaridisNature2014	..	Parnu, Avinurme, Viljandi, Talinn	Estonia	58.5390393	24.8892515	6	..	592298	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Estonian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
865	Mordovians5	0.0372	-0.0234	0.041	0.0031	0.0072	0.0061	-0.0038	-0.0002	0.0057	0.0028	Mordovian	Mordovians5	Mordovians5	LazaridisNature2014	..	Saransk_in_Republic_of_Mordova	Russia	54.183333	45.183333	6	..	591645	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Mordovian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
866	Chuvash31	0.0286	-0.0602	0.0639	0.018	0.0027	0.0036	-0.0014	-0.0017	0.0008	0.0012	Chuvash	Chuvash31	Chuvash31	LazaridisNature2014	..	Cheboksary_in_Chuvash_Republic	Russia	56.110278	47.251111	6	..	592608	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Chuvash	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
867	saudi1403	-0.0632	0.0386	0.0573	-0.0468	-0.0026	-0.005	-0.0098	0.0052	0.0148	0.0106	Saudi	saudi1403	saudi1403	LazaridisNature2014	..	migrants_collected_in_Kuwait	Saudi Arabia	18.490029	42.51709	6	..	592303	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Saudi	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
868	NA15202	0.0286	0.004	0.0109	-0.002	-0.0047	-0.0044	-0.0007	0.0045	-0.0039	0.0016	Hungarian	NA15202	NA15202	LazaridisNature2014	..	..	Hungary	47.5	19.1	6	..	592104	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Hungarian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
869	NA15725	0.0307	0.0023	0.0116	-0.0038	0.0065	0.0049	-0.0031	-0.001	0.001	0.0038	Czech	NA15725	NA15725	LazaridisNature2014	..	Pre-1989	Czechoslovakia	50.1	14.4	6	..	591974	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Czech	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
870	NA15733	0.0305	-0.0084	0.0154	0.0015	0.0052	0.0031	-0.0057	0.0046	0.0006	-0.0018	Czech	NA15733	NA15733	LazaridisNature2014	..	Pre-1989	Czechoslovakia	50.1	14.4	6	..	591895	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Czech	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
871	NA15762	0.0335	0.0027	0.0025	-0.0054	-0.0061	-0.0013	0.0044	-0.001	-0.0017	-0.0021	Icelandic	NA15762	NA15762	LazaridisNature2014	..	..	Iceland	64.13333333	-21.93333333	6	..	591403	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Icelandic	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
872	NA17373	0.0026	0.0088	-0.0161	-0.0112	-0.0024	-0.0007	0.0045	0.0035	0.0023	-0.0029	Greek	NA17373	NA17373	LazaridisNature2014	..	..	Greece	37.96666667	23.71666667	6	..	591257	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Greek	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
873	NA15203	0.0278	0.0008	0.0057	-0.0002	0.0026	-0.0011	-0.0026	-0.0052	0.0083	0.0002	Hungarian	NA15203	NA15203	LazaridisNature2014	..	..	Hungary	47.5	19.1	6	..	592411	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Hungarian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
874	NA15726	0.0282	0.0002	0.008	-0.0013	-0.0006	0.0006	0.0002	0.0014	0.0006	-0.003	Czech	NA15726	NA15726	LazaridisNature2014	..	Pre-1989	Czechoslovakia	50.1	14.4	6	..	591747	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Czech	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
875	NA15755	0.037	0.0097	0.0056	-0.0027	-0.0009	-0.0041	-0.0031	-0.0015	0.0023	-0.0017	Icelandic	NA15755	NA15755	LazaridisNature2014	..	..	Iceland	64.13333333	-21.93333333	6	..	592281	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Icelandic	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
876	NA15763	0.034	0.0034	0.0032	-0.0023	-0.0017	-0.004	0.0045	-0.0009	-0.0028	-0.003	Icelandic	NA15763	NA15763	LazaridisNature2014	..	..	Iceland	64.13333333	-21.93333333	6	..	591516	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Icelandic	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
877	NA17374	-0.0228	-0.0196	-0.0354	-0.0118	-0.0059	-0.0041	0.0032	0.0002	-0.002	0.0019	Greek	NA17374	NA17374	LazaridisNature2014	..	..	Greece	37.96666667	23.71666667	6	..	592128	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Greek	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
878	NA15204	0.0228	-0.004	0.0109	0.001	0.0033	0.0012	0.0001	-0.0007	0.0037	0.001	Hungarian	NA15204	NA15204	LazaridisNature2014	..	..	Hungary	47.5	19.1	6	..	592356	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Hungarian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
879	NA15727	0.0303	0.0022	0.0122	-0.001	0.0014	-0.0026	-0.0033	0.0016	0.0029	0.0009	Czech	NA15727	NA15727	LazaridisNature2014	..	Pre-1989	Czechoslovakia	50.1	14.4	6	..	591922	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Czech	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
880	NA15756	0.0333	0.0061	0.0071	-0.0037	-0.006	-0.0047	0.0029	0.0007	-0.0001	0.0038	Icelandic	NA15756	NA15756	LazaridisNature2014	..	..	Iceland	64.13333333	-21.93333333	6	..	591975	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Icelandic	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
881	NA15764	0.03	0.0048	0.0017	-0.009	-0.0031	-0.003	-0.0006	0.0002	-0.0018	-0.0033	Icelandic	NA15764	NA15764	LazaridisNature2014	..	..	Iceland	64.13333333	-21.93333333	6	..	591689	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Icelandic	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
882	NA17375	-0.0063	-0.0012	-0.0171	-0.0065	0.0026	-0.006	0.001	0.0028	-0.0001	-0.0023	Greek	NA17375	NA17375	LazaridisNature2014	..	..	Greece	37.96666667	23.71666667	6	..	592083	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Greek	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
883	NA15205	0.0272	-0.0001	0.01	-0.0048	0.002	-0.0004	-0.0055	-0.0002	0.0045	-0.0027	Hungarian	NA15205	NA15205	LazaridisNature2014	..	..	Hungary	47.5	19.1	6	..	592029	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Hungarian	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
884	NA15728	0.0286	0.0011	0.0121	-0.0036	-0.0002	-0.0005	-0.0001	0.0024	0.0032	0.0071	Czech	NA15728	NA15728	LazaridisNature2014	..	Pre-1989	Czechoslovakia	50.1	14.4	6	..	591435	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Czech	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
885	NA15757	0.0312	0.0048	0.0003	-0.0023	-0.0059	-0.004	-0.0008	0.0037	0.0011	-0.0074	Icelandic	NA15757	NA15757	LazaridisNature2014	..	..	Iceland	64.13333333	-21.93333333	6	..	592152	M	..	PASS	genotyping	..	..	..	..	0	0	..	..	Icelandic	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
886	NA15765	0.0355	0.0064	0.0095	-0.0033	0.0026	-0.0018	0.003	-0.001	-0.0078	-0.0023	Icelandic	NA15765	NA15765	LazaridisNature2014	..	..	Iceland	64.13333333	-21.93333333	6	..	591639	F	..	PASS	genotyping	..	..	..	..	0	0	..	..	Icelandic	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
